id,composer,composition,movement,ensemble,catalog_name,seconds
1733,Schubert,Piano Sonata in A major,2. Andantino,Solo Piano,D959,546
1734,Schubert,Piano Sonata in A major,3. Scherzo. Allegro vivace,Solo Piano,D959,325
1735,Schubert,Piano Sonata in A major,4. Rondo. Allegretto,Solo Piano,D959,714
1749,Schubert,Piano Sonata in A minor,1. Moderato,Solo Piano,D845,696
1750,Schubert,Piano Sonata in A minor,2. Andante poco mosso,Solo Piano,D845,784
1751,Schubert,Piano Sonata in A minor,3. Scherzo. Allegro vivace - Trio. Un poco piu lento,Solo Piano,D845,475
1752,Schubert,Piano Sonata in A minor,4. Rondo. Allegro vivace,Solo Piano,D845,362
1755,Schubert,Piano Sonata in A minor,2. Andante,Solo Piano,D784,229
1756,Schubert,Piano Sonata in A minor,3. Allegro vivace,Solo Piano,D784,371
1757,Schubert,Piano Sonata in C minor,1. Allegro,Solo Piano,D958,710
1758,Schubert,Piano Sonata in C minor,2. Adagio,Solo Piano,D958,468
1759,Schubert,Piano Sonata in C minor,3. Menuetto and Trio,Solo Piano,D958,194
1760,Schubert,Piano Sonata in C minor,4. Allegro,Solo Piano,D958,655
1763,Schubert,4 Impromptus,1. Impromptu in F minor,Solo Piano,OP142,600
1764,Schubert,4 Impromptus,2. Impromptu in A-flat major,Solo Piano,OP142,438
1765,Schubert,4 Impromptus,3. Impromptu in B-flat major,Solo Piano,OP142,676
1766,Schubert,4 Impromptus,4. Impromptu in F minor,Solo Piano,OP142,427
1768,Schubert,Piano Sonata in A major,2. Andante,Solo Piano,D664,290
1771,Schubert,Piano Sonata in D-flat major,1. Allegro moderato,Solo Piano,D568,647
1772,Schubert,Piano Sonata in D-flat major,2. Andante molto,Solo Piano,D568,417
1773,Schubert,Piano Sonata in D-flat major,3. Menuetto. Allegretto,Solo Piano,D568,307
1775,Schubert,Piano Sonata in D major,1. Allegro vivace,Solo Piano,D850,578
1776,Schubert,Piano Sonata in D major,2. Con moto,Solo Piano,D850,726
1777,Schubert,Piano Sonata in D major,3. Scherzo. Allegro vivace,Solo Piano,D850,629
1788,Mozart,String Quartet No 19 in C major,1. Adagio - Allegro,String Quartet,K465,513
1789,Mozart,String Quartet No 19 in C major,2. Andante cantabile,String Quartet,K465,461
